Category,Id
0,0
1,1
6,2
0,3
3,4
6,5
8,6
6,7
5,8
0,9
3,10
4,11
6,12
6,13
8,14
5,15
6,16
3,17
6,18
4,19
4,20
4,21
6,22
1,23
5,24
7,25
8,26
4,27
4,28
1,29
5,30
7,31
7,32
8,33
1,34
3,35
9,36
8,37
6,38
8,39
6,40
0,41
4,42
4,43
6,44
0,45
3,46
3,47
6,48
3,49
4,50
6,51
9,52
3,53
0,54
9,55
9,56
4,57
6,58
0,59
4,60
5,61
4,62
6,63
1,64
1,65
0,66
9,67
5,68
6,69
7,70
3,71
4,72
6,73
5,74
7,75
1,76
6,77
1,78
3,79
9,80
8,81
1,82
4,83
4,84
8,85
9,86
4,87
1,88
6,89
3,90
6,91
4,92
4,93
6,94
0,95
4,96
7,97
7,98
3,99
9,100
3,101
9,102
6,103
8,104
4,105
3,106
8,107
6,108
7,109
5,110
5,111
4,112
4,113
7,114
5,115
0,116
4,117
7,118
3,119
6,120
5,121
6,122
4,123
7,124
0,125
8,126
5,127
0,128
3,129
1,130
7,131
9,132
4,133
9,134
6,135
4,136
6,137
6,138
4,139
3,140
3,141
3,142
4,143
4,144
6,145
6,146
0,147
1,148
3,149
4,150
3,151
3,152
1,153
9,154
3,155
3,156
3,157
9,158
5,159
6,160
7,161
7,162
3,163
3,164
4,165
0,166
6,167
7,168
6,169
4,170
8,171
9,172
0,173
6,174
4,175
4,176
5,177
7,178
9,179
9,180
1,181
3,182
9,183
1,184
5,185
5,186
6,187
0,188
7,189
4,190
9,191
1,192
6,193
0,194
0,195
6,196
4,197
0,198
9,199
0,200
4,201
4,202
5,203
5,204
8,205
6,206
4,207
1,208
9,209
3,210
4,211
7,212
1,213
9,214
5,215
9,216
6,217
6,218
8,219
5,220
7,221
7,222
3,223
6,224
4,225
5,226
7,227
8,228
1,229
9,230
5,231
6,232
6,233
9,234
7,235
4,236
0,237
9,238
6,239
1,240
5,241
7,242
7,243
0,244
6,245
4,246
5,247
3,248
3,249
8,250
1,251
6,252
4,253
4,254
8,255
4,256
9,257
8,258
3,259
3,260
6,261
4,262
4,263
4,264
9,265
3,266
9,267
6,268
8,269
6,270
8,271
8,272
6,273
7,274
6,275
5,276
5,277
9,278
5,279
8,280
4,281
6,282
8,283
3,284
8,285
3,286
1,287
4,288
4,289
4,290
1,291
8,292
1,293
3,294
0,295
3,296
1,297
7,298
0,299
5,300
4,301
0,302
9,303
6,304
6,305
7,306
4,307
7,308
7,309
1,310
0,311
6,312
0,313
7,314
8,315
9,316
0,317
9,318
5,319
0,320
6,321
5,322
0,323
8,324
5,325
8,326
7,327
7,328
6,329
1,330
4,331
9,332
7,333
6,334
6,335
1,336
6,337
3,338
8,339
6,340
5,341
5,342
0,343
9,344
6,345
9,346
8,347
0,348
6,349
9,350
6,351
4,352
3,353
0,354
6,355
0,356
8,357
5,358
9,359
5,360
1,361
6,362
0,363
7,364
1,365
6,366
7,367
5,368
9,369
8,370
4,371
0,372
4,373
6,374
6,375
6,376
7,377
4,378
9,379
8,380
3,381
9,382
7,383
5,384
1,385
4,386
4,387
9,388
5,389
5,390
6,391
3,392
4,393
7,394
4,395
6,396
4,397
6,398
5,399
0,400
6,401
0,402
6,403
3,404
5,405
7,406
0,407
5,408
0,409
7,410
0,411
5,412
6,413
7,414
7,415
5,416
8,417
4,418
4,419
0,420
4,421
0,422
9,423
8,424
4,425
1,426
0,427
6,428
4,429
4,430
9,431
4,432
3,433
1,434
6,435
5,436
8,437
3,438
8,439
6,440
7,441
1,442
4,443
0,444
7,445
8,446
7,447
4,448
5,449
1,450
6,451
3,452
0,453
5,454
8,455
4,456
9,457
9,458
5,459
5,460
8,461
4,462
6,463
3,464
4,465
7,466
1,467
5,468
6,469
5,470
5,471
9,472
6,473
0,474
7,475
0,476
6,477
7,478
4,479
8,480
6,481
3,482
7,483
3,484
1,485
4,486
9,487
7,488
0,489
8,490
6,491
4,492
8,493
8,494
1,495
7,496
1,497
9,498
3,499
8,500
1,501
4,502
6,503
9,504
3,505
8,506
6,507
6,508
4,509
6,510
5,511
7,512
1,513
4,514
0,515
0,516
4,517
9,518
4,519
5,520
4,521
3,522
8,523
4,524
4,525
5,526
5,527
4,528
7,529
1,530
9,531
8,532
9,533
7,534
3,535
4,536
4,537
6,538
1,539
6,540
4,541
4,542
3,543
6,544
7,545
3,546
5,547
9,548
7,549
7,550
1,551
7,552
0,553
4,554
8,555
4,556
4,557
4,558
8,559
8,560
3,561
7,562
0,563
6,564
7,565
8,566
4,567
4,568
6,569
6,570
7,571
9,572
4,573
5,574
8,575
5,576
4,577
1,578
1,579
6,580
7,581
6,582
4,583
5,584
0,585
4,586
4,587
3,588
4,589
3,590
6,591
0,592
4,593
5,594
6,595
9,596
7,597
8,598
1,599
1,600
3,601
7,602
5,603
9,604
8,605
5,606
3,607
0,608
4,609
7,610
9,611
4,612
6,613
6,614
8,615
0,616
1,617
8,618
9,619
1,620
7,621
8,622
7,623
9,624
3,625
1,626
8,627
3,628
5,629
4,630
7,631
9,632
3,633
7,634
9,635
5,636
1,637
3,638
8,639
4,640
9,641
6,642
6,643
6,644
5,645
6,646
0,647
5,648
1,649
0,650
9,651
7,652
3,653
9,654
7,655
4,656
4,657
4,658
3,659
7,660
4,661
1,662
1,663
8,664
7,665
7,666
5,667
8,668
8,669
4,670
5,671
8,672
1,673
6,674
6,675
6,676
7,677
3,678
7,679
6,680
5,681
7,682
1,683
3,684
8,685
3,686
0,687
3,688
8,689
4,690
0,691
1,692
8,693
0,694
7,695
4,696
5,697
0,698
9,699
1,700
1,701
3,702
4,703
7,704
3,705
4,706
7,707
8,708
9,709
0,710
1,711
3,712
5,713
9,714
6,715
3,716
9,717
7,718
1,719
6,720
9,721
0,722
1,723
7,724
0,725
0,726
5,727
1,728
9,729
8,730
7,731
3,732
9,733
1,734
0,735
3,736
8,737
9,738
4,739
9,740
3,741
9,742
3,743
6,744
8,745
0,746
6,747
8,748
9,749
7,750
9,751
0,752
5,753
9,754
6,755
4,756
7,757
7,758
3,759
1,760
9,761
8,762
3,763
6,764
8,765
9,766
1,767
8,768
8,769
0,770
6,771
7,772
1,773
4,774
3,775
3,776
6,777
1,778
4,779
5,780
0,781
7,782
8,783
8,784
8,785
3,786
6,787
6,788
7,789
8,790
1,791
9,792
3,793
5,794
4,795
4,796
8,797
3,798
1,799
1,800
0,801
1,802
4,803
3,804
9,805
9,806
1,807
1,808
5,809
9,810
4,811
5,812
9,813
5,814
5,815
8,816
0,817
3,818
3,819
1,820
7,821
9,822
3,823
5,824
4,825
6,826
5,827
6,828
9,829
8,830
5,831
7,832
6,833
9,834
3,835
8,836
7,837
6,838
5,839
1,840
7,841
0,842
8,843
8,844
9,845
9,846
0,847
4,848
8,849
9,850
7,851
3,852
0,853
4,854
5,855
0,856
0,857
8,858
8,859
9,860
6,861
6,862
8,863
6,864
4,865
6,866
9,867
6,868
9,869
7,870
5,871
9,872
9,873
6,874
9,875
4,876
7,877
8,878
3,879
0,880
1,881
8,882
3,883
0,884
0,885
0,886
6,887
9,888
7,889
3,890
0,891
1,892
7,893
1,894
9,895
8,896
9,897
4,898
6,899
3,900
6,901
3,902
4,903
5,904
5,905
6,906
6,907
6,908
6,909
9,910
1,911
0,912
0,913
1,914
0,915
3,916
5,917
3,918
7,919
0,920
6,921
6,922
8,923
8,924
0,925
6,926
5,927
4,928
8,929
8,930
3,931
6,932
6,933
8,934
0,935
3,936
6,937
1,938
4,939
1,940
3,941
6,942
5,943
4,944
5,945
0,946
4,947
0,948
4,949
9,950
0,951
5,952
0,953
0,954
6,955
1,956
8,957
5,958
0,959
6,960
6,961
3,962
3,963
6,964
3,965
3,966
6,967
6,968
9,969
0,970
3,971
4,972
7,973
4,974
7,975
1,976
4,977
7,978
4,979
3,980
9,981
1,982
3,983
8,984
8,985
4,986
3,987
6,988
9,989
0,990
9,991
6,992
0,993
4,994
9,995
6,996
7,997
4,998
5,999
4,1000
6,1001
4,1002
5,1003
6,1004
4,1005
3,1006
5,1007
1,1008
3,1009
8,1010
6,1011
1,1012
8,1013
4,1014
4,1015
8,1016
7,1017
9,1018
0,1019
8,1020
5,1021
9,1022
4,1023
1,1024
6,1025
8,1026
5,1027
6,1028
7,1029
5,1030
1,1031
8,1032
3,1033
5,1034
4,1035
6,1036
7,1037
4,1038
9,1039
6,1040
4,1041
5,1042
7,1043
5,1044
9,1045
8,1046
0,1047
4,1048
4,1049
4,1050
4,1051
7,1052
6,1053
3,1054
6,1055
6,1056
8,1057
8,1058
8,1059
9,1060
